year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
9,264.2,315.6,13.0,15.5,5,118,4100,1240,0.0,201.5,41.0,40,3.065
10,264.2,231.7,13.4,4.5,6,0,4300,1300,0.0,246.9,48.0,176,3.164
1,505.6,242.5,21.8,0.0,3,108,6500,2650,0.0,0.0,0.0,0,0.491
2,505.6,135.4,22.2,0.0,2,111,7000,3240,0.0,0.0,0.0,0,0.512
3,505.6,54.8,22.7,0.0,2,111,8500,3500,0.0,0.0,0.0,3,0.534
4,505.6,168.4,22.0,0.0,2,113,6000,2400,0.0,0.0,0.0,4,0.567
5,505.6,218.8,20.9,0.0,4,113,6400,2500,0.0,0.0,0.0,55,0.649
6,505.6,84.0,22.0,0.0,3,104,19437,7674,0.0,0.0,0.0,5,0.66
7,505.6,75.9,22.4,0.0,2,107,22755,8472,0.0,0.0,0.0,5,0.684
8,505.6,183.9,22.3,0.0,3,109,26640,9353,0.0,266.4,8.0,6,0.715
9,505.6,55.1,22.2,0.0,2,103,30525,10234,0.0,301.0,11.0,6,0.734
10,505.6,198.0,22.5,0.0,4,104,12159,7469,0.0,305.0,12.0,7,0.746
1,520.7,240.2,22.1,0.0,3,104,7000,1700,0.0,0.0,0.0,2,0.798
2,520.7,155.3,22.4,0.0,3,104,7680,2300,0.0,0.0,0.0,2,0.802
3,520.7,77.0,23.0,0.0,2,105,8000,2600,0.0,0.0,0.0,2,0.835
4,520.7,146.3,22.5,0.0,2,108,7000,3000,0.0,0.0,0.0,6,0.838
5,520.7,216.3,21.2,0.0,4,111,6800,2700,0.0,0.0,0.0,6,0.842
6,520.7,77.1,22.4,0.0,4,106,19437,7674,0.0,0.0,1.0,7,0.847
7,520.7,90.3,22.8,0.0,2,105,22755,8472,0.0,0.0,1.0,7,0.851
8,520.7,238.5,22.8,0.0,2,103,26640,9353,0.0,119.5,1.0,8,0.857
9,520.7,62.0,22.7,0.0,2,102,30525,10234,0.0,239.5,4.0,8,0.858
10,520.7,195.8,22.9,0.0,3,100,12284,7546,0.0,311.3,6.0,8,0.859
1,520.7,182.6,21.6,0.0,3,105,7200,2160,0.0,0.0,0.0,0,0.783
2,520.7,297.7,21.3,0.0,4,105,7600,2280,0.0,0.0,0.0,0,0.794
3,520.7,366.8,21.5,0.0,2,104,7840,2352,0.0,0.0,0.0,0,0.8
4,520.7,336.6,21.3,0.0,4,106,6850,2275,0.0,0.0,0.0,2,0.812
5,520.7,240.2,22.1,0.0,3,104,7200,2400,0.0,0.0,0.0,2,0.834
6,520.7,155.3,22.4,0.0,3,104,6800,1600,0.0,0.0,0.0,4,0.848
7,520.7,77.0,23.0,0.0,2,105,7050,2470,0.0,12.1,0.0,4,0.862
8,520.7,146.3,22.5,0.0,2,108,7140,2550,2.7,20.5,0.0,4,1.023
9,520.7,216.3,21.2,0.0,4,111,7430,2950,11.6,50.3,0.0,6,1.679
10,520.7,77.1,22.4,0.0,4,106,7700,3300,92.9,67.7,0.0,6,1.839
1,520.7,539.7,17.4,2.0,4,116,3470,490,0.0,145.1,0.0,18,0.391
